31.31;	0.0;0.0;
0.0;	0.0;0.0;
0.31;	0.7615768347370724;0.7615768347370724;
31.0;	0.7615768347370724;0.7615768347370724;
1.1;	0.0;0.0;
0.1;	7.648529270389178;7.648529270389178;
1.0;	7.648529270389178;7.648529270389178;
1.31;	7.034202147181493;7.034202147181493;
31.1;	7.034202147181493;7.034202147181493;
1.2;	2.6172498097761645;2.6172498097761645;
2.1;	2.6172498097761645;2.6172498097761645;
1.3;	6.768307945631592;6.768307945631592;
3.1;	6.768307945631592;6.768307945631592;
1.4;	5.54707114117347;5.54707114117347;
4.1;	5.54707114117347;5.54707114117347;
1.5;	4.110961120607227;4.110961120607227;
5.1;	4.110961120607227;4.110961120607227;
1.6;	3.1064448520022343;3.1064448520022343;
6.1;	3.1064448520022343;3.1064448520022343;
1.7;	2.4839484236027234;2.4839484236027234;
7.1;	2.4839484236027234;2.4839484236027234;
1.8;	3.605551275463989;3.605551275463989;
8.1;	3.605551275463989;3.605551275463989;
1.9;	4.159327373045757;4.159327373045757;
9.1;	4.159327373045757;4.159327373045757;
1.10;	5.232590949903484;5.232590949903484;
10.1;	5.232590949903484;5.232590949903484;
1.11;	6.378088133582564;6.378088133582564;
11.1;	6.378088133582564;6.378088133582564;
1.12;	3.7483326829294206;3.7483326829294206;
12.1;	3.7483326829294206;3.7483326829294206;
1.13;	11.516943770818303;11.516943770818303;
13.1;	11.516943770818303;11.516943770818303;
1.14;	11.322543951156872;11.322543951156872;
14.1;	11.322543951156872;11.322543951156872;
1.15;	14.591092761808616;14.591092761808616;
15.1;	14.591092761808616;14.591092761808616;
1.16;	11.799152134483318;11.799152134483318;
16.1;	11.799152134483318;11.799152134483318;
1.17;	7.666159537860976;7.666159537860976;
17.1;	7.666159537860976;7.666159537860976;
1.18;	7.009279933630052;7.009279933630052;
18.1;	7.009279933630052;7.009279933630052;
1.19;	8.381527329876768;8.381527329876768;
19.1;	8.381527329876768;8.381527329876768;
1.20;	7.68439971932264;7.68439971932264;
20.1;	7.68439971932264;7.68439971932264;
1.21;	9.96393558971121;9.96393558971121;
21.1;	9.96393558971121;9.96393558971121;
1.22;	11.45862108366348;11.45862108366348;
22.1;	11.45862108366348;11.45862108366348;
1.23;	13.140014991345272;13.140014991345272;
23.1;	13.140014991345272;13.140014991345272;
1.24;	13.340539875058287;13.340539875058287;
