5.5;	0.0;0.0;
0.0;	0.0;0.0;
0.5;	0.7615768347370724;0.7615768347370724;
5.0;	0.7615768347370724;0.7615768347370724;
1.1;	0.0;0.0;
0.1;	1.788854382000035;1.788854382000035;
1.0;	1.788854382000035;1.788854382000035;
1.5;	2.3537206455695645;2.3537206455695645;
5.1;	2.3537206455695645;2.3537206455695645;
1.2;	4.140048080847001;4.140048080847001;
2.1;	4.140048080847001;4.140048080847001;
1.3;	6.640029224193621;6.640029224193621;
3.1;	6.640029224193621;6.640029224193621;
1.4;	5.4405869414146375;5.4405869414146375;
4.1;	5.4405869414146375;5.4405869414146375;
2.2;	0.0;0.0;
0.2;	5.907621848019813;5.907621848019813;
2.0;	5.907621848019813;5.907621848019813;
2.5;	6.352951985642956;6.352951985642956;
5.2;	6.352951985642956;6.352951985642956;
2.3;	7.831346489021945;7.831346489021945;
3.2;	7.831346489021945;7.831346489021945;
2.4;	7.885428545668765;7.885428545668765;
4.2;	7.885428545668765;7.885428545668765;
3.3;	0.0;0.0;
0.3;	7.1840099479249595;7.1840099479249595;
3.0;	7.1840099479249595;7.1840099479249595;
3.5;	7.920226579517344;7.920226579517344;
5.3;	7.920226579517344;7.920226579517344;
3.4;	2.40208254105844;2.40208254105844;
4.3;	2.40208254105844;2.40208254105844;
4.4;	0.0;0.0;
0.4;	5.440587782800996;5.440587782800996;
4.0;	5.440587782800996;5.440587782800996;
4.5;	6.107371469551471;6.107371469551471;
5.4;	6.107371469551471;6.107371469551471;
